"Subject" "Activity_No." "Activity_Name2" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAccMag-mean()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroJerkMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
2 5 "STANDING" -0.37719313 -0.18139543 -0.18139543 0.12657826 0.049015501 -0.99997037 -0.75783085 -0.79920363 -0.84049894 -0.99200078 -0.99200078 -0.99248401 -0.99262929 -0.99501892 -0.99370298 -0.99227779 -0.99416628 -0.99650487
2 5 "STANDING" -0.31670722 -0.48569019 -0.48569019 -0.22587484 -0.15009615 -0.99997607 -0.92739591 -0.96014881 -0.91560887 -0.99317478 -0.99317478 -0.98917652 -0.99425402 -0.9954186 -0.99400006 -0.98988419 -0.99495697 -0.99659475
2 5 "STANDING" -0.16580773 -0.61169822 -0.61169822 -0.66181431 -0.18411994 -0.99996933 -0.96089642 -0.91747614 -0.91966323 -0.99209849 -0.99209849 -0.9894526 -0.99394477 -0.99543688 -0.99262272 -0.99330914 -0.99546295 -0.99676286
2 5 "STANDING" -0.48354576 -0.36537321 -0.36537321 -0.071389602 -0.38176634 -0.99994501 -0.85743812 -0.93314523 -0.77804437 -0.98880473 -0.98880473 -0.99092702 -0.98944095 -0.99441044 -0.98863354 -0.99419527 -0.98880945 -0.99535264
2 5 "STANDING" -0.51110677 -0.14589897 -0.14589897 -0.15788126 -0.52254025 -0.9999553 -0.9229965 -0.66621545 -0.67276879 -0.98345554 -0.98345554 -0.99209801 -0.98770443 -0.99443167 -0.98738595 -0.99335409 -0.98960102 -0.99432072
2 5 "STANDING" -0.78651434 0.091816803 0.091816803 0.31140219 0.45891629 -0.99972385 -0.62361519 -0.51360776 -0.51052651 -0.97177018 -0.97177018 -0.98444335 -0.92345144 -0.98575128 -0.97084205 -0.97648381 -0.80914 -0.97267088
2 5 "STANDING" -0.56257957 0.081971272 0.081971272 0.018212521 0.15056014 -0.99977396 -0.35543344 -0.72587388 -0.34276508 -0.89114826 -0.89114826 -0.97436577 -0.94244588 -0.98494221 -0.86204866 -0.97087879 -0.97596859 -0.98468873
2 5 "STANDING" -0.3240935 -0.13450315 -0.13450315 -0.13324994 -0.12024119 -0.99987692 0.18846425 -0.89791111 -0.34625898 -0.94390252 -0.94390252 -0.9860497 -0.96709063 -0.99263654 -0.96053843 -0.98831696 -0.9812298 -0.9942263
2 5 "STANDING" -0.15561489 0.016546421 0.016546421 -0.17190689 -0.32740943 -0.99991066 0.1566086 -0.86906859 -0.32145994 -0.97506523 -0.97506523 -0.99096838 -0.98433291 -0.99275342 -0.98357957 -0.99027752 -0.99049256 -0.99448466
2 5 "STANDING" -0.49243012 -0.094303529 -0.094303529 0.53293556 -0.077362834 -0.99945646 0.086297094 0.3459202 -0.083529121 -0.95883076 -0.95883076 -0.96404005 -0.95847553 -0.97088597 -0.93889729 -0.9486251 -0.94747945 -0.9682135
2 5 "STANDING" -0.59198856 -0.18529484 -0.18529484 0.43374976 -0.23323593 -0.99943194 -0.51654888 0.58383795 -0.66683199 -0.9254881 -0.9254881 -0.95100947 -0.9350631 -0.95872291 -0.937565 -0.94052192 -0.94531701 -0.96366826
2 5 "STANDING" -0.21000374 -0.49556348 -0.49556348 0.55268187 -0.36439869 -0.99794836 -0.71356939 -0.35633603 -0.7391028 -0.91671002 -0.91671002 -0.93070744 -0.92330487 -0.93362003 -0.92074201 -0.89671319 -0.89294573 -0.89482845
2 5 "STANDING" -0.50071385 -0.44431964 -0.44431964 0.13958267 -0.354895 -0.97786639 -0.77308918 -0.61055595 -0.60427552 -0.8866145 -0.8866145 -0.89156887 -0.87094775 -0.89403232 -0.85460731 -0.88026295 -0.78746748 -0.81999084
2 5 "STANDING" -0.84327653 0.094740391 0.094740391 -0.42921358 -0.19935085 -0.98025321 -0.45016989 -0.031846839 -0.51458575 -0.91424457 -0.91424457 -0.93379134 -0.89507731 -0.93389188 -0.88238538 -0.91905285 -0.80571585 -0.83178344
2 5 "STANDING" -0.64026729 0.048895538 0.048895538 -0.49400558 0.18505197 -0.99977914 -0.84320514 -0.8419374 -0.68178068 -0.97639741 -0.97639741 -0.97752202 -0.96121993 -0.98156201 -0.97599241 -0.98055474 -0.97769301 -0.98069188
2 5 "STANDING" -0.41378413 0.052923916 0.052923916 -0.23370434 0.2319673 -0.99990366 -0.69378174 -0.85285036 -0.71941435 -0.97278247 -0.97278247 -0.98230467 -0.97418211 -0.98801891 -0.9744553 -0.98616213 -0.9841708 -0.98489458
2 5 "STANDING" -0.14740446 -0.14383089 -0.14383089 -0.19579746 0.11452245 -0.99993408 -0.40715321 -0.94956924 -0.73336619 -0.97410189 -0.97410189 -0.98929212 -0.97913622 -0.99242066 -0.97854756 -0.99231488 -0.9873502 -0.99366355
2 5 "STANDING" -0.37805231 -0.09272681 -0.09272681 -0.15344737 0.075493845 -0.99992917 -0.78704859 -0.96419024 -0.84529342 -0.98424763 -0.98424763 -0.98869299 -0.98438424 -0.99339805 -0.986493 -0.99070753 -0.98792314 -0.99455145
2 5 "STANDING" -0.25547582 0.039405423 0.039405423 -0.06166776 -0.0084991455 -0.99995553 -0.87398488 -0.90399873 -0.92468477 -0.9863763 -0.9863763 -0.98787803 -0.98864889 -0.99388532 -0.98525593 -0.99007226 -0.99114474 -0.9943382
2 5 "STANDING" -0.25869852 -0.1222757 -0.1222757 0.25176482 -0.13549751 -0.99994241 -0.20624481 -0.83931917 -0.80222264 -0.98114936 -0.98114936 -0.99070401 -0.98950178 -0.99509372 -0.9884016 -0.99446766 -0.99334345 -0.99505118
2 5 "STANDING" -0.011881137 -0.13470189 -0.13470189 0.0022856788 0.037934849 -0.99994635 0.41999602 -0.94031296 -0.85317203 -0.98120081 -0.98120081 -0.99091628 -0.98495044 -0.99269469 -0.98657404 -0.9902788 -0.96671378 -0.98829589
2 4 "SITTING" -0.26621244 0.2332909 0.2332909 0.2666483 0.28284253 -0.99892477 -0.80745853 -0.79508224 -0.75418098 -0.92873856 -0.92873856 -0.97766739 -0.94284864 -0.98480912 -0.89882048 -0.96443364 -0.93493886 -0.98173276
2 4 "SITTING" -0.33050213 -0.24993785 -0.24993785 0.069359863 -0.11098839 -0.99995319 -0.18719323 -0.9456445 -0.11476572 -0.97803564 -0.97803564 -0.99261266 -0.97773598 -0.99553914 -0.97794345 -0.9920428 -0.98717791 -0.99526723
2 4 "SITTING" -0.26297202 -0.43775584 -0.43775584 -0.10633659 0.065135579 -0.99988451 -0.81872293 -0.95538602 -0.30610852 -0.99438865 -0.99438865 -0.99367703 -0.99003935 -0.99750587 -0.99412375 -0.9946893 -0.99171515 -0.99774691
2 4 "SITTING" -0.37971541 -0.29440356 -0.29440356 -0.026886764 0.093467873 -0.99993117 -0.36628101 -0.93471259 -0.24916542 -0.98452293 -0.98452293 -0.99209242 -0.98142234 -0.99558278 -0.98361921 -0.99357323 -0.98358715 -0.99488497
2 4 "SITTING" -0.19531481 -0.19667313 -0.19667313 -0.017447263 -0.068299043 -0.99971127 -0.4673768 -0.81583387 -0.17204194 -0.98197129 -0.98197129 -0.98891135 -0.9786125 -0.99205801 -0.98228846 -0.98969985 -0.98190869 -0.9932283
2 4 "SITTING" -0.12310051 -0.27432694 -0.27432694 -0.16064754 -0.076149571 -0.99985243 -0.91063763 -0.9490759 -0.61204822 -0.98594601 -0.98594601 -0.98786737 -0.98336311 -0.99116242 -0.98545244 -0.9885371 -0.98767771 -0.99318062
2 4 "SITTING" -0.3220787 -0.1843771 -0.1843771 -0.23820643 0.1095191 -0.99989648 -0.8038608 -0.94767565 -0.70847197 -0.98590459 -0.98590459 -0.98944283 -0.98495388 -0.99301191 -0.98693338 -0.9897813 -0.98667306 -0.99398753
2 4 "SITTING" -0.45735599 -0.4869974 -0.4869974 -0.20140334 0.085341086 -0.99994543 -0.89778209 -0.90988208 -0.8520901 -0.99193129 -0.99193129 -0.99056259 -0.99004857 -0.995537 -0.99094948 -0.9910336 -0.99115097 -0.9959979
2 4 "SITTING" -0.3262637 -0.47407006 -0.47407006 0.12370233 -0.24554759 -0.9999529 -0.96936629 -0.90075396 -0.92457751 -0.99505048 -0.99505048 -0.99335333 -0.99063115 -0.99566519 -0.99362136 -0.99312867 -0.99271841 -0.99604217
2 4 "SITTING" -0.2496484 -0.28179453 -0.28179453 0.14289319 -0.33836212 -0.99996375 -0.75689016 -0.98317027 -0.821027 -0.99569559 -0.99569559 -0.99524339 -0.99330273 -0.99593913 -0.99433423 -0.99406775 -0.9933618 -0.99591867
2 4 "SITTING" -0.4189678 -0.14521101 -0.14521101 -0.30818098 0.052644304 -0.99997316 -0.91177142 -0.93530464 -0.78141478 -0.99231876 -0.99231876 -0.9921557 -0.99096518 -0.99491005 -0.98949844 -0.99091427 -0.98899962 -0.99417563
2 4 "SITTING" -0.15925176 0.072968999 0.072968999 -0.38545047 0.023707753 -0.99993308 -0.89024364 -0.84429789 -0.8700728 -0.99053425 -0.99053425 -0.99245307 -0.98602379 -0.99231034 -0.98970154 -0.99139998 -0.98597966 -0.99272785
2 4 "SITTING" 0.002908485 0.09714724 0.09714724 -0.11114998 0.086789601 -0.99990518 -0.39264967 -0.88013838 -0.81002631 -0.98713678 -0.98713678 -0.9939029 -0.98588897 -0.99443061 -0.99041719 -0.99160179 -0.98743189 -0.99337821
2 4 "SITTING" -0.45303997 0.11777121 0.11777121 0.11653477 -0.22656345 -0.99723917 -0.63476579 -0.63151344 -0.078486716 -0.87722004 -0.87722004 -0.95780326 -0.66865683 -0.97639756 -0.86276586 -0.95078436 -0.87646103 -0.97996582
2 4 "SITTING" -0.55540445 -0.057927 -0.057927 -0.37330387 0.75321331 -0.99855121 -0.065785003 -0.24655454 -0.031021512 -0.95395093 -0.95395093 -0.98480154 -0.82576638 -0.99015082 -0.9682697 -0.9792592 -0.88877193 -0.99018192
2 4 "SITTING" -0.58644815 0.063800326 0.063800326 -0.17234138 -0.16419027 -0.99958538 -0.57373196 -0.89203982 0.21552322 -0.98179163 -0.98179163 -0.9934728 -0.94355237 -0.99428762 -0.98955812 -0.99401821 -0.95014613 -0.99508007
2 4 "SITTING" -0.59521633 -0.1825829 -0.1825829 0.11237825 -0.40626215 -0.99956666 -0.87416603 -0.93403682 0.20570972 -0.99140977 -0.99140977 -0.98918771 -0.98258066 -0.99239408 -0.98838421 -0.9886048 -0.98938695 -0.99218812
2 4 "SITTING" -0.54641915 -0.19990246 -0.19990246 -0.27138135 0.044060563 -0.99940784 -0.71206861 -0.69172347 -0.06620808 -0.97881153 -0.97881153 -0.97656492 -0.96659584 -0.98248196 -0.97006626 -0.97730678 -0.97193036 -0.98193814
2 4 "SITTING" -0.51644909 -0.096706709 -0.096706709 -0.25906535 -0.050057652 -0.99953748 -0.7558817 -0.67211449 -0.54500187 -0.97556248 -0.97556248 -0.9776169 -0.95753906 -0.97948948 -0.97162213 -0.97853472 -0.97140559 -0.98196836
2 4 "SITTING" -0.47823736 0.084205325 0.084205325 -0.055121154 0.28714196 -0.99980611 0.16383094 -0.95362207 -0.72360999 -0.9675803 -0.9675803 -0.98985561 -0.97217324 -0.98970626 -0.97898403 -0.99031397 -0.97948573 -0.99155225
2 4 "SITTING" -0.51669297 -0.041153169 -0.041153169 0.19912101 0.099767585 -0.99982186 0.3917783 -0.94607694 -0.57415393 -0.96613087 -0.96613087 -0.99170127 -0.98445222 -0.99455097 -0.98149522 -0.99396278 -0.98883643 -0.99515858
2 4 "SITTING" -0.28727435 -0.40142605 -0.40142605 -0.16159133 -0.32125632 -0.99993989 -0.72890969 -0.85686369 -0.72203911 -0.98723788 -0.98723788 -0.99279565 -0.99088224 -0.9965757 -0.99091344 -0.99551316 -0.99405679 -0.99648776
2 4 "SITTING" -0.24105904 -0.22153926 -0.22153926 -0.32657133 -0.095001349 -0.99996627 -0.8055338 -0.92269773 -0.47407652 -0.98994608 -0.98994608 -0.99449181 -0.99305995 -0.99725074 -0.9915257 -0.99603615 -0.99489178 -0.99757115
2 4 "SITTING" -0.40922241 -0.027153609 -0.027153609 -0.2972482 0.22504347 -0.99990781 -0.65701981 -0.96667341 -0.67796124 -0.98846007 -0.98846007 -0.99370981 -0.98784661 -0.99551664 -0.98939688 -0.99445507 -0.98566411 -0.99572318
2 6 NA -0.19314976 -0.40155311 -0.40155311 0.14096228 -0.042081753 -0.99513137 -0.40192355 -0.2035346 -0.58348453 -0.91669749 -0.91669749 -0.95122949 -0.82362506 -0.95467236 -0.86122749 -0.91953741 -0.89283142 -0.93660357
2 6 NA -0.3302296 -0.06859629 -0.06859629 0.055911206 0.39924745 -0.99914304 -0.88334067 -0.82207319 -0.091277268 -0.98122621 -0.98122621 -0.98586535 -0.91425567 -0.98654648 -0.9798187 -0.9863168 -0.9398944 -0.98854277
2 6 NA -0.006790292 -0.20376454 -0.20376454 0.086838438 -0.11815676 -0.99983379 -0.95368134 -0.93946809 -0.14330828 -0.99088456 -0.99088456 -0.99101218 -0.96723595 -0.99178625 -0.99197665 -0.9939209 -0.97713959 -0.99292703
2 6 NA 0.049285517 -0.49540214 -0.49540214 0.12355713 -0.30858157 -0.99997311 -0.5497936 -0.96297824 -0.54381845 -0.99461891 -0.99461891 -0.99381926 -0.98499982 -0.99527188 -0.99570482 -0.99428451 -0.99449861 -0.99519095
2 6 NA 0.083069733 -0.26614896 -0.26614896 -0.0027442895 -0.05618228 -0.99995031 -0.8535303 -0.95985586 -0.84809501 -0.99755985 -0.99755985 -0.99553935 -0.98941665 -0.99514057 -0.99559954 -0.99521573 -0.99524502 -0.99613378
2 6 NA -0.042344913 -0.41272443 -0.41272443 -0.0078105756 0.081216116 -0.99995037 -0.91046452 -0.93388874 -0.86632567 -0.99893571 -0.99893571 -0.99495126 -0.99328876 -0.99624462 -0.99595286 -0.99588693 -0.99511318 -0.99746842
2 6 NA -0.13482102 -0.41398492 -0.41398492 -0.39815979 -0.46122124 -0.99995753 -0.85415664 -0.94996997 -0.82134224 -0.99762785 -0.99762785 -0.99374906 -0.99676166 -0.99711144 -0.99500693 -0.99559725 -0.99657987 -0.99856279
2 6 NA -0.22962565 -0.19056847 -0.19056847 -0.52112228 -0.73941522 -0.99997006 -0.84540833 -0.91926226 -0.54107759 -0.9914538 -0.9914538 -0.99399789 -0.99639256 -0.99670883 -0.99397873 -0.99442889 -0.99729607 -0.99756037
2 6 NA -0.1914531 -0.23702037 -0.23702037 -0.2163185 -0.37778516 -0.99991668 -0.77572139 -0.97298388 -0.74875351 -0.98920966 -0.98920966 -0.99307567 -0.99293871 -0.9967011 -0.9938574 -0.99315024 -0.99503331 -0.99676935
2 6 NA -0.37746419 -0.34827668 -0.34827668 -0.2337061 -0.37985811 -0.99989484 -0.76769934 -0.9652229 -0.62897446 -0.99040175 -0.99040175 -0.99424052 -0.99273406 -0.99617884 -0.994644 -0.99437506 -0.99456117 -0.99664966
2 6 NA -0.46766881 -0.18241182 -0.18241182 -0.53930604 -0.28195226 -0.99993405 0.071572786 -0.93848563 0.18132642 -0.98226511 -0.98226511 -0.99645159 -0.98881937 -0.99564426 -0.99136982 -0.9987856 -0.99352195 -0.99661583
2 6 NA -0.4889551 0.33133316 0.33133316 0.036838607 0.27920463 -0.99579767 -0.61946666 -0.58681129 -0.25580865 -0.86552976 -0.86552976 -0.97485844 -0.63911675 -0.97895591 -0.84038757 -0.96465703 -0.82829165 -0.97420276
2 6 NA -0.16962834 -0.2700327 -0.2700327 0.29829994 0.23137403 -0.99873585 0.083662149 -0.94490289 0.16070491 -0.93097813 -0.93097813 -0.9876883 -0.82024716 -0.98941993 -0.96034958 -0.98990585 -0.88776134 -0.99041701
2 6 NA -0.25035456 -0.085066103 -0.085066103 0.21523524 -0.044838233 -0.99960198 -0.57622408 -0.92570884 -0.23876252 -0.96798124 -0.96798124 -0.98981544 -0.93136684 -0.99358379 -0.98503957 -0.99266739 -0.95679596 -0.99408064
2 6 NA -0.23307004 -0.12022575 -0.12022575 -0.28378667 -0.019805024 -0.99985325 -0.52826696 -0.93655184 -0.1707795 -0.97918424 -0.97918424 -0.98946973 -0.96540293 -0.99406694 -0.98700688 -0.99188228 -0.98455106 -0.99376879
2 6 NA -0.30082519 -0.28134387 -0.28134387 -0.15061284 -0.077773434 -0.99991874 -0.72588022 -0.69064155 -0.1983229 -0.98243677 -0.98243677 -0.9898351 -0.97730692 -0.9944413 -0.98814184 -0.99239689 -0.98918503 -0.99412077
2 6 NA -0.44899051 -0.24767633 -0.24767633 0.10182761 -0.010778369 -0.99991953 -0.44075964 -0.48653151 -0.55947436 -0.97902373 -0.97902373 -0.99175592 -0.98168007 -0.99507025 -0.98672683 -0.99380059 -0.9871068 -0.99511085
2 6 NA -0.31263154 -0.19110087 -0.19110087 -0.29294223 0.029341327 -0.99996514 -0.26951776 -0.88194764 -0.38281315 -0.98083557 -0.98083557 -0.99200077 -0.98466842 -0.99563424 -0.98673781 -0.99282979 -0.98962904 -0.9963639
2 6 NA -0.30776243 -0.30571741 -0.30571741 -0.30120315 -0.26023324 -0.99995425 -0.5923535 -0.58415099 -0.19945137 -0.98172401 -0.98172401 -0.98930602 -0.98818907 -0.99563919 -0.98260472 -0.98995227 -0.99369774 -0.99720313
2 6 NA -0.22208991 -0.086958225 -0.086958225 -0.32717254 -0.27128451 -0.99996079 0.19562573 -0.96925915 -0.80025999 -0.9780311 -0.9780311 -0.98886288 -0.98733156 -0.9943734 -0.98442006 -0.9904473 -0.99084317 -0.9966969
2 6 NA -0.176328 0.13099033 0.13099033 -0.32082934 -0.12435717 -0.99990773 -0.6301919 -0.97765177 -0.92486822 -0.97782444 -0.97782444 -0.99150787 -0.98853747 -0.99198729 -0.98457882 -0.9946943 -0.98906668 -0.9933037
2 6 NA -0.15045228 -0.12688492 -0.12688492 -0.43340381 -0.051345699 -0.99989822 -0.79047975 -0.89513383 -0.75044941 -0.97905506 -0.97905506 -0.99284837 -0.98848981 -0.99400093 -0.98675301 -0.99616437 -0.9906415 -0.99308424
2 6 NA -0.25613502 -0.21117047 -0.21117047 -0.26640656 0.2613866 -0.99992059 0.42489387 -0.91135986 -0.80946444 -0.97585522 -0.97585522 -0.9921009 -0.98491656 -0.9965863 -0.9873106 -0.99380031 -0.99061381 -0.99668223
2 6 NA -0.60184053 0.047830003 0.047830003 -0.20123816 0.19983546 -0.99995647 -0.4460034 -0.9334775 -0.3638167 -0.97270083 -0.97270083 -0.99199659 -0.98687675 -0.99706358 -0.98822762 -0.99339481 -0.99140603 -0.99722476
2 1 "WALKING" -0.025239403 0.27363908 0.27363908 0.086588537 -0.07237225 -0.95151834 -0.8437107 -0.50849647 -0.51054545 -0.35642995 -0.35642995 -0.3907957 -0.41694099 -0.6523754 -0.36829615 -0.33226755 -0.57433174 -0.68990146
2 1 "WALKING" -0.19313702 0.17342503 0.17342503 0.13240459 -0.0059810413 -0.95258403 -0.91010296 -0.44533396 -0.79451617 -0.29560789 -0.29560789 -0.29461029 -0.45988777 -0.63826673 -0.37184739 -0.22482345 -0.63301733 -0.67924645
2 1 "WALKING" -0.36647237 -0.074156926 -0.074156926 0.41337691 -0.10061388 -0.92626781 -0.8297045 -0.70421984 -0.96607283 -0.27755891 -0.27755891 -0.26769037 -0.48168882 -0.64125343 -0.29947596 -0.13541531 -0.57112952 -0.6739995
2 1 "WALKING" -0.2972671 0.12183715 0.12183715 0.53826317 -0.051471478 -0.94571189 -0.8175899 -0.25798324 -0.81361799 -0.29128626 -0.29128626 -0.31774429 -0.48181773 -0.64491506 -0.33121193 -0.19752781 -0.56628738 -0.68039567
2 1 "WALKING" -0.02601383 0.32269232 0.32269232 0.31279979 -0.066203981 -0.96108678 -0.80768328 -0.66769201 -0.41578675 -0.34393842 -0.34393842 -0.39977024 -0.51339105 -0.66086041 -0.47527034 -0.39967818 -0.59540331 -0.68314737
2 1 "WALKING" 0.050824493 0.40292985 0.40292985 0.35339931 -0.050708168 -0.94945705 -0.80005539 -0.53268524 -0.89300105 -0.33913225 -0.33913225 -0.36820031 -0.49657329 -0.65168663 -0.44004903 -0.29568814 -0.56836976 -0.7039621
2 1 "WALKING" 0.044074597 0.34100708 0.34100708 0.29338361 -0.13361118 -0.95363099 -0.80231306 -0.30830822 -0.89666021 -0.32871571 -0.32871571 -0.32261213 -0.49858237 -0.63859884 -0.40946333 -0.24975952 -0.62986279 -0.70611184
2 1 "WALKING" -0.039545185 0.54155035 0.54155035 0.28769947 -0.12035117 -0.93603086 -0.84580838 -0.66957388 -0.91034662 -0.32195911 -0.32195911 -0.31568134 -0.50785098 -0.62051582 -0.39103123 -0.22142307 -0.61914444 -0.70525613
2 1 "WALKING" -0.11218974 0.31560669 0.31560669 0.19486195 -0.058364701 -0.91976673 -0.72809598 -0.20412449 -0.87697638 -0.33016333 -0.33016333 -0.34419414 -0.49133343 -0.6188359 -0.39893103 -0.25427092 -0.60227161 -0.68453632
2 1 "WALKING" -0.12394438 -0.0093373895 -0.0093373895 0.25170334 0.1499638 -0.93225322 -0.44635509 -0.15114301 -0.6462882 -0.36824597 -0.36824597 -0.3780273 -0.45151586 -0.65155773 -0.36110946 -0.2285427 -0.58803486 -0.70444777
2 1 "WALKING" -0.038866195 -0.088236229 -0.088236229 0.34160511 0.04434233 -0.93246248 -0.7465396 -0.023945175 -0.79402555 -0.31979196 -0.31979196 -0.3472925 -0.4128306 -0.64074418 -0.35143601 -0.24528912 -0.54516094 -0.68637046
2 1 "WALKING" -0.025876927 -0.38463128 -0.38463128 0.46102947 -0.11672954 -0.91884827 -0.90466568 -0.39997367 -0.71273623 -0.27982595 -0.27982595 -0.25896599 -0.42558988 -0.57512019 -0.30654153 -0.26729847 -0.4969372 -0.62223748
2 1 "WALKING" -0.015739069 -0.23160488 -0.23160488 0.28045149 -0.18806237 -0.92730825 -0.9312659 -0.83225041 -0.90423694 -0.28918183 -0.28918183 -0.2352392 -0.44980786 -0.54820202 -0.24512449 -0.14401349 -0.45432393 -0.62587883
2 1 "WALKING" -0.058691875 0.14694601 0.14694601 0.37637171 -0.13910695 -0.93156078 -0.89426658 -0.54889131 -0.95496768 -0.30398572 -0.30398572 -0.29130408 -0.47728207 -0.59628528 -0.34422767 -0.20373529 -0.5240966 -0.65198139
2 1 "WALKING" -0.067321165 0.20015098 0.20015098 0.45307011 -0.058809136 -0.94764599 -0.88484042 -0.56823975 -0.666645 -0.34035128 -0.34035128 -0.35360537 -0.49195229 -0.65195212 -0.40227928 -0.29249121 -0.57443708 -0.67042027
2 1 "WALKING" -0.12480029 0.15072675 0.15072675 0.40433112 0.11397272 -0.93129528 -0.61631538 -0.6610532 -0.67266216 -0.30975798 -0.30975798 -0.39321429 -0.3831065 -0.67390552 -0.42462429 -0.31437314 -0.55686219 -0.70741343
2 1 "WALKING" -0.057801688 0.082171906 0.082171906 0.46704216 0.073190517 -0.9202551 -0.77732066 -0.32226819 -0.71273074 -0.23978012 -0.23978012 -0.25024404 -0.43113771 -0.64019744 -0.33592377 -0.26976995 -0.64604197 -0.72537869
2 1 "WALKING" 0.16628863 0.17780377 0.17780377 0.2967418 0.16106073 -0.91583528 -0.9124597 -0.4616237 -0.84338804 -0.23019556 -0.23019556 -0.26629944 -0.4306258 -0.62021606 -0.37143485 -0.26713659 -0.58004834 -0.69694706
2 1 "WALKING" 0.13114889 0.11918699 0.11918699 0.24617336 0.19972555 -0.92506275 -0.8924539 -0.58738238 -0.86894453 -0.28585082 -0.28585082 -0.3519543 -0.4708807 -0.62641067 -0.42808333 -0.36371416 -0.57534385 -0.68940237
2 1 "WALKING" -0.1178745 0.048665592 0.048665592 0.61598938 0.051762946 -0.93965359 -0.73460139 -0.46532741 -0.93531935 -0.30705654 -0.30705654 -0.30254147 -0.51198361 -0.62875518 -0.373438 -0.26185914 -0.58800118 -0.67872003
2 1 "WALKING" -0.19445044 0.42128352 0.42128352 0.54458142 0.094473043 -0.94448727 -0.68601723 -0.56411662 -0.92382744 -0.30676319 -0.30676319 -0.3097675 -0.47539664 -0.62167293 -0.35651805 -0.16911669 -0.57958118 -0.65130723
